"Time","rskj-node1","rskj-miner2","rskj-miner4","rskj-miner1"
2026-02-10 16:08:00,3.84 GiB,3.75 GiB,3.79 GiB,3.83 GiB
2026-02-10 16:09:00,3.84 GiB,3.75 GiB,3.79 GiB,3.83 GiB
2026-02-10 16:10:00,3.84 GiB,3.75 GiB,3.79 GiB,3.84 GiB
2026-02-10 16:11:00,3.84 GiB,3.75 GiB,3.79 GiB,3.84 GiB
2026-02-10 16:12:00,3.84 GiB,3.75 GiB,3.79 GiB,3.85 GiB
2026-02-10 16:13:00,3.84 GiB,3.75 GiB,3.79 GiB,3.86 GiB
2026-02-10 16:14:00,3.84 GiB,3.75 GiB,3.79 GiB,3.87 GiB
2026-02-10 16:15:00,3.84 GiB,3.75 GiB,3.79 GiB,3.87 GiB
2026-02-10 16:16:00,3.84 GiB,3.75 GiB,3.79 GiB,3.88 GiB
2026-02-10 16:17:00,3.84 GiB,3.75 GiB,3.79 GiB,3.89 GiB
2026-02-10 16:18:00,3.84 GiB,3.75 GiB,3.79 GiB,3.80 GiB
2026-02-10 16:19:00,3.84 GiB,3.75 GiB,3.79 GiB,3.81 GiB
2026-02-10 16:20:00,3.84 GiB,3.75 GiB,3.79 GiB,3.81 GiB
2026-02-10 16:21:00,3.84 GiB,3.75 GiB,3.80 GiB,3.82 GiB
2026-02-10 16:22:00,3.84 GiB,3.75 GiB,3.80 GiB,3.83 GiB
2026-02-10 16:23:00,3.84 GiB,3.75 GiB,3.80 GiB,3.80 GiB
2026-02-10 16:24:00,3.78 GiB,3.75 GiB,3.80 GiB,3.81 GiB
2026-02-10 16:25:00,3.78 GiB,3.75 GiB,3.80 GiB,3.82 GiB
2026-02-10 16:26:00,3.78 GiB,3.75 GiB,3.80 GiB,3.82 GiB
2026-02-10 16:27:00,3.78 GiB,3.76 GiB,3.80 GiB,3.83 GiB
2026-02-10 16:28:00,3.78 GiB,3.76 GiB,3.81 GiB,3.84 GiB
2026-02-10 16:29:00,3.78 GiB,3.76 GiB,3.81 GiB,3.84 GiB
2026-02-10 16:30:00,3.78 GiB,3.76 GiB,3.81 GiB,3.85 GiB
2026-02-10 16:31:00,3.78 GiB,3.76 GiB,3.81 GiB,3.76 GiB
2026-02-10 16:32:00,3.78 GiB,3.76 GiB,3.81 GiB,3.77 GiB
2026-02-10 16:33:00,3.78 GiB,3.76 GiB,3.81 GiB,3.78 GiB
2026-02-10 16:34:00,3.78 GiB,3.76 GiB,3.81 GiB,3.78 GiB
2026-02-10 16:35:00,3.78 GiB,3.76 GiB,3.81 GiB,3.79 GiB
2026-02-10 16:36:00,3.78 GiB,3.76 GiB,3.81 GiB,3.80 GiB
2026-02-10 16:37:00,3.78 GiB,3.76 GiB,3.81 GiB,3.81 GiB
2026-02-10 16:38:00,3.78 GiB,3.76 GiB,3.81 GiB,3.81 GiB
2026-02-10 16:39:00,3.78 GiB,3.76 GiB,3.81 GiB,3.81 GiB
2026-02-10 16:40:00,3.78 GiB,3.76 GiB,3.81 GiB,3.82 GiB
2026-02-10 16:41:00,3.78 GiB,3.76 GiB,3.81 GiB,3.83 GiB
2026-02-10 16:42:00,3.78 GiB,3.76 GiB,3.81 GiB,3.84 GiB
2026-02-10 16:43:00,3.78 GiB,3.76 GiB,3.81 GiB,3.85 GiB
2026-02-10 16:44:00,3.78 GiB,3.76 GiB,3.81 GiB,3.85 GiB
