"Time","rskj-miner1:8080 (heap)","rskj-miner2:8080 (heap)","rskj-miner4:8080 (heap)","rskj-node1:8080 (heap)","rskj-miner1:8080-max","rskj-miner2:8080-max","rskj-miner4:8080-max","rskj-node1:8080-max"
2026-02-10 13:20:45,882 MiB,1.98 GiB,2.64 GiB,2.33 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 13:21:00,992 MiB,2.15 GiB,2.76 GiB,2.44 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 13:21:15,1.17 GiB,2.30 GiB,2.11 GiB,2.56 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 13:21:30,783 MiB,2.46 GiB,2.26 GiB,2.70 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 13:21:45,685 MiB,2.01 GiB,2.59 GiB,2.21 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 13:22:00,1.05 GiB,2.17 GiB,2.75 GiB,2.33 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 13:22:15,712 MiB,2.32 GiB,2.06 GiB,2.44 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 13:22:30,1.12 GiB,2.43 GiB,2.17 GiB,2.55 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 13:22:45,978 MiB,2.16 GiB,2.65 GiB,2.20 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 13:23:00,576 MiB,2.35 GiB,2.04 GiB,2.37 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 13:23:15,997 MiB,2.50 GiB,2.15 GiB,2.48 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 13:23:30,677 MiB,2.71 GiB,2.37 GiB,2.66 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 13:23:45,507 MiB,2.44 GiB,2.05 GiB,2.34 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 13:24:00,955 MiB,2.64 GiB,2.24 GiB,2.50 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 13:24:15,548 MiB,2.78 GiB,2.38 GiB,2.62 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 13:24:30,1019 MiB,2.17 GiB,2.52 GiB,2.75 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 13:24:45,791 MiB,2.46 GiB,2.03 GiB,2.26 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 13:25:00,440 MiB,2.66 GiB,2.19 GiB,2.38 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
2026-02-10 13:25:15,841 MiB,2.76 GiB,2.30 GiB,2.49 GiB,2.90 GiB,2.90 GiB,2.90 GiB,2.90 GiB
