"Time","rskj-miner1:8080 (Copy)","rskj-miner2:8080 (Copy)","rskj-miner3:8080 (Copy)","rskj-miner4:8080 (Copy)","rskj-node1:8080 (Copy)","rskj-node2:8080 (Copy)","rskj-miner1:8080 (MarkSweepCompact)","rskj-miner2:8080 (MarkSweepCompact)","rskj-miner3:8080 (MarkSweepCompact)","rskj-miner4:8080 (MarkSweepCompact)","rskj-node1:8080 (MarkSweepCompact)","rskj-node2:8080 (MarkSweepCompact)"
2026-02-10 15:44:00,2.31 ms,1.27 ms,1.41 ms,3.12 ms,2.76 ms,1.32 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 15:46:00,2.86 ms,763 µs,1.22 ms,966 µs,1.17 ms,1.20 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 15:48:00,2.32 ms,1.78 ms,1.14 ms,2.29 ms,1.05 ms,1.29 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 15:50:00,8.68 ms,3.15 ms,7.56 ms,3.64 ms,5.63 ms,2.97 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 15:52:00,2.25 ms,3.73 ms,6.03 ms,5.78 ms,5.22 ms,4.00 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 15:54:00,1.97 ms,2.42 ms,3.19 ms,4.68 ms,3.97 ms,3.75 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 15:56:00,1.85 ms,4.71 ms,4.15 ms,6.39 ms,3.03 ms,2.59 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 15:58:00,2.34 ms,4.95 ms,3.76 ms,4.98 ms,6.17 ms,5.22 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 16:00:00,2.68 ms,1.83 ms,5.22 ms,5.00 ms,2.75 ms,4.10 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 16:02:00,1.10 ms,915 µs,1.71 ms,4.71 ms,2.64 ms,3.00 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 16:04:00,1.69 ms,763 µs,1.25 ms,1.92 ms,2.12 ms,2.78 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 16:06:00,2.64 ms,1.34 ms,2.02 ms,1.27 ms,1.22 ms,1.93 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 16:08:00,3.73 ms,2.83 ms,2.29 ms,2.59 ms,1.64 ms,2.36 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 16:10:00,1.80 ms,2.98 ms,1000 µs,3.32 ms,2.19 ms,2.05 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 16:12:00,2.25 ms,2.95 ms,1.20 ms,2.12 ms,1.41 ms,1.22 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 16:14:00,2.64 ms,2.24 ms,1.12 ms,2.41 ms,1.44 ms,2.30 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 16:16:00,2.56 ms,2.27 ms,1.83 ms,1.61 ms,1.22 ms,5.05 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 16:18:00,1.39 ms,2.61 ms,1.97 ms,983 µs,1.05 ms,2.95 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 16:20:00,1.97 ms,2.78 ms,3.10 ms,2.20 ms,1.34 ms,2.64 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 16:22:00,2.86 ms,2.54 ms,1.03 ms,2.15 ms,2.64 ms,2.98 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 16:24:00,2.47 ms,1.37 ms,1.36 ms,3.20 ms,2.44 ms,2.20 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 16:26:00,797 µs,1.12 ms,1.73 ms,1.54 ms,1.59 ms,0 s,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 16:28:00,2.25 ms,2.10 ms,1.24 ms,949 µs,1.49 ms,1.10 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 16:30:00,2.12 ms,1.80 ms,2.54 ms,1.37 ms,1.47 ms,1.07 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 16:32:00,1.88 ms,1.66 ms,1.03 ms,2.29 ms,2.76 ms,932 µs,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 16:34:00,3.85 ms,1.02 ms,3.00 ms,1.69 ms,1.22 ms,1.15 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 16:36:00,3.49 ms,1.92 ms,2.22 ms,3.24 ms,3.07 ms,5.24 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 16:38:00,2.95 ms,4.97 ms,1.66 ms,1.51 ms,3.86 ms,5.83 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 16:40:00,2.97 ms,2.68 ms,1.58 ms,1.27 ms,2.97 ms,4.92 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 16:42:00,1.64 ms,2.90 ms,1.92 ms,2.19 ms,2.10 ms,2.97 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 16:44:00,2.20 ms,3.93 ms,1.37 ms,2.83 ms,1.83 ms,2.37 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 16:46:00,2.47 ms,3.85 ms,1.20 ms,1.31 ms,1.86 ms,2.80 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 16:48:00,3.83 ms,3.81 ms,1.88 ms,3.25 ms,2.69 ms,4.95 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 16:50:00,1.64 ms,1.39 ms,1.75 ms,1.05 ms,2.39 ms,2.64 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 16:52:00,2.14 ms,1.10 ms,1.85 ms,1.69 ms,1.29 ms,3.34 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 16:54:00,2.00 ms,1.76 ms,1.80 ms,1.42 ms,2.14 ms,0 s,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 16:56:00,2.03 ms,1.78 ms,2.49 ms,3.41 ms,3.19 ms,1.61 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 16:58:00,2.88 ms,1.15 ms,2.47 ms,3.17 ms,1.90 ms,1.53 ms,0 s,0 s,0 s,0 s,0 s,0 s
2026-02-10 17:00:00,2.95 ms,2.10 ms,2.47 ms,1.81 ms,1.42 ms,932 µs,0 s,0 s,0 s,0 s,0 s,0 s
