timestamp,container,cgrp_total_mb,rss_mb,cache_mb,nmt_total_mb,heap_comm_mb,gc_mb,threads_mb,metaspace_mb,nmt_other_mb,db_fds
2026-03-17 17:48:49,rskj-miner2,5592,4919,630,5506,5120,237,8,39,386,40
2026-03-17 17:48:50,rskj-node1,3500,3291,183,3358,3072,159,5,38,286,40
2026-03-17 17:48:51,rskj-node2,3564,3350,184,3357,3072,158,5,38,285,40
2026-03-17 17:49:22,rskj-miner1,5566,4885,640,5508,5120,237,8,39,388,40
2026-03-17 17:49:23,rskj-miner2,5544,4925,579,5506,5120,237,8,39,386,40
2026-03-17 17:49:24,rskj-node1,3501,3291,185,3357,3072,159,5,38,285,40
2026-03-17 17:49:25,rskj-node2,3564,3349,185,3357,3072,158,5,38,285,40
2026-03-17 17:49:56,rskj-miner1,5605,4894,669,5509,5120,237,8,39,389,40
2026-03-17 17:49:57,rskj-miner2,5593,4933,619,5515,5120,237,8,39,395,40
2026-03-17 17:49:58,rskj-node1,3501,3291,185,3358,3072,159,5,38,286,40
2026-03-17 17:49:59,rskj-node2,3565,3349,185,3357,3072,158,5,38,285,40
2026-03-17 17:50:30,rskj-miner1,5623,4894,687,5508,5120,237,8,39,388,40
2026-03-17 17:50:31,rskj-miner2,5623,4937,644,5523,5120,237,8,39,403,40
2026-03-17 17:50:32,rskj-node1,3503,3291,186,3358,3072,159,5,38,286,40
2026-03-17 17:50:33,rskj-node2,3566,3349,186,3358,3072,158,5,38,286,40
2026-03-17 17:51:04,rskj-miner1,5639,4897,700,5508,5120,237,8,39,388,40
2026-03-17 17:51:05,rskj-miner2,5564,4948,575,5506,5120,237,8,39,386,40
2026-03-17 17:51:05,rskj-node1,3503,3291,186,3358,3072,159,5,38,286,40
2026-03-17 17:51:06,rskj-node2,3641,3424,186,3357,3072,158,5,38,285,40
2026-03-17 17:51:37,rskj-miner1,5654,4900,709,5508,5120,237,8,39,388,40
2026-03-17 17:51:38,rskj-miner2,5576,4948,586,5507,5120,237,8,39,387,40
2026-03-17 17:51:38,rskj-node1,3587,3374,187,3358,3072,159,5,38,286,40
2026-03-17 17:51:40,rskj-node2,3642,3424,187,3362,3072,158,5,38,290,40
2026-03-17 17:52:11,rskj-miner1,5581,4906,634,5508,5120,237,8,39,388,40
2026-03-17 17:52:12,rskj-miner2,5593,4954,598,5507,5120,237,8,39,387,40
2026-03-17 17:52:12,rskj-node1,3588,3374,189,3358,3072,159,5,38,286,40
2026-03-17 17:52:13,rskj-node2,3644,3424,189,3357,3072,158,5,38,285,40
2026-03-17 17:52:44,rskj-miner1,5600,4912,646,5508,5120,237,8,39,388,41
2026-03-17 17:52:45,rskj-miner2,5613,4961,611,5507,5120,237,8,39,387,41
2026-03-17 17:52:46,rskj-node1,3591,3375,189,3358,3072,159,5,38,286,41
2026-03-17 17:52:46,rskj-node2,3645,3424,189,3357,3072,158,5,38,285,41
2026-03-17 17:53:17,rskj-miner1,5615,4915,657,5508,5120,237,8,39,388,41
2026-03-17 17:53:18,rskj-miner2,5628,4964,622,5507,5120,237,8,39,387,41
2026-03-17 17:53:19,rskj-node1,3593,3376,190,3358,3072,159,5,38,286,41
2026-03-17 17:53:20,rskj-node2,3646,3424,190,3357,3072,158,5,38,285,41
2026-03-17 17:53:51,rskj-miner1,5624,4918,663,5508,5120,237,8,39,388,41
2026-03-17 17:53:52,rskj-miner2,5639,4968,629,5507,5120,237,8,39,387,41
2026-03-17 17:53:52,rskj-node1,3594,3376,191,3358,3072,159,5,38,286,41
2026-03-17 17:53:53,rskj-node2,3647,3424,191,3357,3072,158,5,38,285,41
2026-03-17 17:54:24,rskj-miner1,5632,4921,669,5508,5120,237,8,39,388,41
2026-03-17 17:54:25,rskj-miner2,5653,4974,636,5507,5120,237,8,39,387,41
2026-03-17 17:54:26,rskj-node1,3594,3376,191,3358,3072,159,5,38,286,41
2026-03-17 17:54:26,rskj-node2,3647,3424,192,3357,3072,158,5,38,285,41
2026-03-17 17:54:57,rskj-miner1,5635,4921,673,5521,5120,237,8,39,401,41
2026-03-17 17:54:58,rskj-miner2,5662,4976,642,5512,5120,237,8,39,392,41
2026-03-17 17:54:59,rskj-node1,3595,3377,192,3363,3072,159,5,38,291,41
2026-03-17 17:54:59,rskj-node2,3649,3425,192,3362,3072,158,5,38,290,41
2026-03-17 17:55:30,rskj-miner1,5640,4922,677,5508,5120,237,8,39,388,41
2026-03-17 17:55:31,rskj-miner2,5667,4977,647,5507,5120,237,8,39,387,41
2026-03-17 17:55:32,rskj-node1,3596,3377,193,3358,3072,159,5,38,286,41
2026-03-17 17:55:32,rskj-node2,3650,3426,193,3357,3072,158,5,38,285,41
2026-03-17 17:56:03,rskj-miner1,5653,4927,685,5508,5120,237,8,39,388,41
2026-03-17 17:56:04,rskj-miner2,5685,4980,661,5507,5120,237,8,39,387,41
2026-03-17 17:56:05,rskj-node1,3596,3377,193,3358,3072,159,5,38,286,41
2026-03-17 17:56:05,rskj-node2,3650,3426,193,3357,3072,158,5,38,285,41
2026-03-17 17:56:36,rskj-miner1,5675,4930,701,5508,5120,237,8,39,388,41
2026-03-17 17:56:37,rskj-miner2,5631,4986,604,5507,5120,237,8,39,387,41
2026-03-17 17:56:38,rskj-node1,3597,3377,193,3358,3072,159,5,38,286,41
2026-03-17 17:56:39,rskj-node2,3651,3426,194,3357,3072,158,5,38,285,41
2026-03-17 17:57:10,rskj-miner1,5682,4934,706,5509,5120,237,8,39,389,41
2026-03-17 17:57:11,rskj-miner2,5644,4989,613,5508,5120,237,8,39,388,41
2026-03-17 17:57:11,rskj-node1,3599,3377,195,3359,3072,159,5,38,287,41
2026-03-17 17:57:12,rskj-node2,3654,3427,196,3357,3072,158,5,38,285,41
2026-03-17 17:57:43,rskj-miner1,5703,4938,722,5508,5120,237,8,39,388,41
2026-03-17 17:57:44,rskj-miner2,5668,4993,634,5507,5120,237,8,39,387,41
2026-03-17 17:57:45,rskj-node1,3600,3377,197,3358,3072,159,5,38,286,41
2026-03-17 17:57:45,rskj-node2,3655,3427,197,3357,3072,158,5,38,285,41
2026-03-17 17:58:16,rskj-miner1,5717,4940,733,5508,5120,237,8,39,388,41
2026-03-17 17:58:17,rskj-miner2,5694,5004,646,5507,5120,237,8,39,387,41
2026-03-17 17:58:18,rskj-node1,3601,3377,198,3358,3072,159,5,38,286,41
2026-03-17 17:58:19,rskj-node2,3657,3428,198,3357,3072,158,5,38,285,41
2026-03-17 17:58:49,rskj-miner1,5645,4945,659,5508,5120,237,8,39,388,41
