"Time","rskj-node1","rskj-miner1","rskj-miner2","rskj-miner3","rskj-miner4","rskj-node2"
2026-02-11 08:15:00,3.89 GiB,3.85 GiB,3.84 GiB,3.89 GiB,3.92 GiB,3.92 GiB
2026-02-11 08:16:00,3.89 GiB,3.85 GiB,3.84 GiB,3.89 GiB,3.92 GiB,3.92 GiB
2026-02-11 08:17:00,3.89 GiB,3.86 GiB,3.84 GiB,3.89 GiB,3.92 GiB,3.92 GiB
2026-02-11 08:18:00,3.89 GiB,3.87 GiB,3.85 GiB,3.89 GiB,3.93 GiB,3.92 GiB
2026-02-11 08:19:00,3.89 GiB,3.87 GiB,3.85 GiB,3.90 GiB,3.93 GiB,3.92 GiB
2026-02-11 08:20:00,3.89 GiB,3.88 GiB,3.85 GiB,3.90 GiB,3.93 GiB,3.92 GiB
2026-02-11 08:21:00,3.89 GiB,3.89 GiB,3.85 GiB,3.90 GiB,3.93 GiB,3.92 GiB
2026-02-11 08:22:00,3.89 GiB,3.90 GiB,3.85 GiB,3.90 GiB,3.93 GiB,3.92 GiB
2026-02-11 08:23:00,3.89 GiB,3.91 GiB,3.85 GiB,3.90 GiB,3.93 GiB,3.92 GiB
2026-02-11 08:24:00,3.89 GiB,3.91 GiB,3.85 GiB,3.90 GiB,3.93 GiB,3.92 GiB
2026-02-11 08:25:00,3.89 GiB,3.92 GiB,3.85 GiB,3.90 GiB,3.93 GiB,3.92 GiB
2026-02-11 08:26:00,3.89 GiB,3.93 GiB,3.85 GiB,3.90 GiB,3.93 GiB,3.92 GiB
2026-02-11 08:27:00,3.89 GiB,3.84 GiB,3.85 GiB,3.90 GiB,3.93 GiB,3.92 GiB
2026-02-11 08:28:00,3.89 GiB,3.85 GiB,3.85 GiB,3.90 GiB,3.93 GiB,3.92 GiB
2026-02-11 08:29:00,3.89 GiB,3.86 GiB,3.85 GiB,3.90 GiB,3.93 GiB,3.92 GiB
2026-02-11 08:30:00,3.89 GiB,3.86 GiB,3.85 GiB,3.90 GiB,3.93 GiB,3.92 GiB
2026-02-11 08:31:00,3.89 GiB,3.87 GiB,3.85 GiB,3.90 GiB,3.93 GiB,3.92 GiB
2026-02-11 08:32:00,3.89 GiB,3.88 GiB,3.85 GiB,3.91 GiB,3.93 GiB,3.92 GiB
2026-02-11 08:33:00,3.89 GiB,3.88 GiB,3.85 GiB,3.91 GiB,3.93 GiB,3.92 GiB
2026-02-11 08:34:00,3.85 GiB,3.83 GiB,3.85 GiB,3.85 GiB,3.85 GiB,3.81 GiB
2026-02-11 08:35:00,3.85 GiB,3.84 GiB,3.85 GiB,3.85 GiB,3.85 GiB,3.81 GiB
2026-02-11 08:36:00,3.85 GiB,3.84 GiB,3.86 GiB,3.85 GiB,3.85 GiB,3.81 GiB
2026-02-11 08:37:00,3.85 GiB,3.84 GiB,3.86 GiB,3.85 GiB,3.85 GiB,3.81 GiB
2026-02-11 08:38:00,3.85 GiB,3.84 GiB,3.86 GiB,3.85 GiB,3.85 GiB,3.81 GiB
2026-02-11 08:39:00,3.85 GiB,3.85 GiB,3.86 GiB,3.85 GiB,3.85 GiB,3.81 GiB
2026-02-11 08:40:00,3.85 GiB,3.86 GiB,3.86 GiB,3.86 GiB,3.85 GiB,3.81 GiB
2026-02-11 08:41:00,3.85 GiB,3.87 GiB,3.85 GiB,3.86 GiB,3.86 GiB,3.81 GiB
2026-02-11 08:42:00,3.85 GiB,3.87 GiB,3.85 GiB,3.86 GiB,3.86 GiB,3.81 GiB
2026-02-11 08:43:00,3.85 GiB,3.83 GiB,3.85 GiB,3.86 GiB,3.86 GiB,3.81 GiB
2026-02-11 08:44:00,3.85 GiB,3.84 GiB,3.85 GiB,3.86 GiB,3.86 GiB,3.81 GiB
2026-02-11 08:45:00,3.85 GiB,3.85 GiB,3.85 GiB,3.86 GiB,3.86 GiB,3.81 GiB
2026-02-11 08:46:00,3.85 GiB,3.86 GiB,3.85 GiB,3.86 GiB,3.86 GiB,3.81 GiB
2026-02-11 08:47:00,3.85 GiB,3.86 GiB,3.85 GiB,3.86 GiB,3.86 GiB,3.81 GiB
2026-02-11 08:48:00,3.85 GiB,3.87 GiB,3.85 GiB,3.86 GiB,3.86 GiB,3.81 GiB
2026-02-11 08:49:00,3.85 GiB,3.88 GiB,3.86 GiB,3.86 GiB,3.86 GiB,3.81 GiB
2026-02-11 08:50:00,3.85 GiB,3.89 GiB,3.86 GiB,3.86 GiB,3.86 GiB,3.81 GiB
2026-02-11 08:51:00,3.85 GiB,3.89 GiB,3.86 GiB,3.86 GiB,3.86 GiB,3.81 GiB
2026-02-11 08:52:00,3.85 GiB,3.90 GiB,3.86 GiB,3.86 GiB,3.86 GiB,3.81 GiB
2026-02-11 08:53:00,3.85 GiB,3.91 GiB,3.86 GiB,3.86 GiB,3.86 GiB,3.81 GiB
2026-02-11 08:54:00,3.85 GiB,3.91 GiB,3.86 GiB,3.86 GiB,3.86 GiB,3.81 GiB
2026-02-11 08:55:00,3.85 GiB,3.92 GiB,3.86 GiB,3.86 GiB,3.86 GiB,3.81 GiB
2026-02-11 08:56:00,3.85 GiB,3.93 GiB,3.86 GiB,3.86 GiB,3.86 GiB,3.81 GiB
2026-02-11 08:57:00,3.85 GiB,3.84 GiB,3.86 GiB,3.86 GiB,3.86 GiB,3.81 GiB
2026-02-11 08:58:00,3.85 GiB,3.85 GiB,3.86 GiB,3.86 GiB,3.86 GiB,3.81 GiB
2026-02-11 08:59:00,3.85 GiB,3.86 GiB,3.86 GiB,3.86 GiB,3.86 GiB,3.81 GiB
2026-02-11 09:00:00,3.85 GiB,3.86 GiB,3.86 GiB,3.87 GiB,3.86 GiB,3.81 GiB
2026-02-11 09:01:00,3.85 GiB,3.86 GiB,3.86 GiB,3.87 GiB,3.87 GiB,3.81 GiB
2026-02-11 09:02:00,3.85 GiB,3.86 GiB,3.86 GiB,3.87 GiB,3.87 GiB,3.81 GiB
2026-02-11 09:03:00,3.88 GiB,3.97 GiB,3.86 GiB,3.96 GiB,3.90 GiB,3.85 GiB
2026-02-11 09:04:00,3.88 GiB,3.97 GiB,3.86 GiB,3.96 GiB,3.90 GiB,3.85 GiB
2026-02-11 09:05:00,3.88 GiB,3.98 GiB,3.86 GiB,3.96 GiB,3.90 GiB,3.85 GiB
2026-02-11 09:06:00,3.88 GiB,3.99 GiB,3.86 GiB,3.97 GiB,3.90 GiB,3.85 GiB
2026-02-11 09:07:00,3.88 GiB,3.99 GiB,3.86 GiB,3.97 GiB,3.90 GiB,3.85 GiB
2026-02-11 09:08:00,3.88 GiB,4.00 GiB,3.86 GiB,3.97 GiB,3.90 GiB,3.85 GiB
2026-02-11 09:09:00,3.88 GiB,4.00 GiB,3.86 GiB,3.97 GiB,3.90 GiB,3.85 GiB
2026-02-11 09:10:00,3.88 GiB,4.00 GiB,3.86 GiB,3.97 GiB,3.90 GiB,3.85 GiB
2026-02-11 09:11:00,3.88 GiB,4.00 GiB,3.86 GiB,3.97 GiB,3.90 GiB,3.85 GiB
2026-02-11 09:12:00,3.88 GiB,3.91 GiB,3.87 GiB,3.97 GiB,3.90 GiB,3.85 GiB
2026-02-11 09:13:00,3.88 GiB,3.91 GiB,3.87 GiB,3.97 GiB,3.91 GiB,3.85 GiB
2026-02-11 09:14:00,3.88 GiB,3.91 GiB,3.87 GiB,3.97 GiB,3.91 GiB,3.85 GiB
2026-02-11 09:15:00,3.88 GiB,3.92 GiB,3.87 GiB,3.97 GiB,3.91 GiB,3.85 GiB
2026-02-11 09:16:00,3.88 GiB,3.93 GiB,3.87 GiB,3.97 GiB,3.91 GiB,3.85 GiB
2026-02-11 09:17:00,3.88 GiB,3.94 GiB,3.87 GiB,3.97 GiB,3.91 GiB,3.85 GiB
2026-02-11 09:18:00,3.88 GiB,3.95 GiB,3.87 GiB,3.97 GiB,3.91 GiB,3.85 GiB
2026-02-11 09:19:00,3.88 GiB,3.95 GiB,3.87 GiB,3.97 GiB,3.91 GiB,3.85 GiB
2026-02-11 09:20:00,3.88 GiB,3.96 GiB,3.87 GiB,3.97 GiB,3.91 GiB,3.85 GiB
2026-02-11 09:21:00,3.88 GiB,3.97 GiB,3.87 GiB,3.97 GiB,3.91 GiB,3.85 GiB
2026-02-11 09:22:00,3.88 GiB,3.98 GiB,3.87 GiB,3.97 GiB,3.91 GiB,3.85 GiB
2026-02-11 09:23:00,3.88 GiB,3.98 GiB,3.87 GiB,3.97 GiB,3.91 GiB,3.85 GiB
2026-02-11 09:24:00,3.88 GiB,3.99 GiB,3.87 GiB,3.97 GiB,3.91 GiB,3.85 GiB
