"Time","rskj-miner1","rskj-miner2","rskj-miner4","rskj-node1","rskj-miner1","rskj-miner2","rskj-miner4","rskj-node1"
2026-02-09 22:08:00,27.0 KiB,2.26 KiB,2.27 KiB,2.26 KiB,-32.4 KiB,-10.2 KiB,-10.3 KiB,-10.2 KiB
2026-02-09 22:10:00,26.9 KiB,2.20 KiB,2.19 KiB,2.18 KiB,-32.3 KiB,-10.2 KiB,-10.2 KiB,-10.1 KiB
2026-02-09 22:12:00,36.2 KiB,2.67 KiB,2.67 KiB,2.65 KiB,-40.7 KiB,-10.6 KiB,-10.6 KiB,-10.5 KiB
2026-02-09 22:14:00,37.9 KiB,2.31 KiB,2.30 KiB,2.28 KiB,-42.2 KiB,-10.7 KiB,-10.8 KiB,-10.6 KiB
2026-02-09 22:16:00,38.1 KiB,3.03 KiB,3.03 KiB,3.01 KiB,-42.8 KiB,-11.4 KiB,-11.4 KiB,-11.3 KiB
2026-02-09 22:18:00,40.8 KiB,2.32 KiB,2.30 KiB,2.30 KiB,-44.7 KiB,-10.8 KiB,-10.8 KiB,-10.7 KiB
2026-02-09 22:20:00,39.0 KiB,2.57 KiB,2.55 KiB,2.57 KiB,-43.2 KiB,-11.0 KiB,-11.0 KiB,-10.9 KiB
2026-02-09 22:22:00,39.2 KiB,3.17 KiB,3.15 KiB,3.16 KiB,-43.8 KiB,-11.5 KiB,-11.6 KiB,-11.4 KiB
2026-02-09 22:24:00,38.0 KiB,3.41 KiB,3.40 KiB,3.39 KiB,-43.0 KiB,-11.7 KiB,-11.7 KiB,-11.6 KiB
2026-02-09 22:26:00,37.9 KiB,3.10 KiB,3.07 KiB,3.05 KiB,-42.7 KiB,-11.4 KiB,-11.4 KiB,-11.3 KiB
2026-02-09 22:28:00,38.1 KiB,3.19 KiB,3.16 KiB,3.16 KiB,-43.0 KiB,-11.5 KiB,-11.5 KiB,-11.4 KiB
2026-02-09 22:30:00,36.0 KiB,3.20 KiB,3.19 KiB,3.20 KiB,-41.1 KiB,-11.5 KiB,-11.6 KiB,-11.4 KiB
2026-02-09 22:32:00,36.0 KiB,3.20 KiB,3.21 KiB,3.20 KiB,-41.2 KiB,-11.6 KiB,-11.5 KiB,-11.4 KiB
2026-02-09 22:34:00,37.3 KiB,2.82 KiB,2.81 KiB,2.81 KiB,-41.6 KiB,-10.8 KiB,-10.8 KiB,-10.7 KiB
2026-02-09 22:36:00,31.8 KiB,2.77 KiB,2.77 KiB,2.78 KiB,-36.8 KiB,-10.8 KiB,-10.8 KiB,-10.7 KiB
2026-02-09 22:38:00,31.8 KiB,2.48 KiB,2.47 KiB,2.48 KiB,-36.6 KiB,-10.5 KiB,-10.5 KiB,-10.4 KiB
2026-02-09 22:40:00,37.8 KiB,3.19 KiB,3.21 KiB,3.22 KiB,-42.2 KiB,-11.2 KiB,-11.1 KiB,-11.0 KiB
2026-02-09 22:42:00,36.7 KiB,3.50 KiB,3.50 KiB,3.52 KiB,-41.5 KiB,-11.4 KiB,-11.4 KiB,-11.2 KiB
2026-02-09 22:44:00,36.6 KiB,3.41 KiB,3.39 KiB,3.39 KiB,-41.4 KiB,-11.2 KiB,-11.3 KiB,-11.1 KiB
